TagID,Angler_Hand_Measurement_TL_mm,AnglerID
24450,230,1
24450,229,2
24450,232,5
24450,226,6
24450,232,7
24450,226,8
24450,202,10
24450,236,11
24450,222,12
24449,411,1
24449,412,2
24449,416,5
24449,385,6
24449,400,7
24449,417,8
24449,390,10
24449,409,11
24449,425,12
24448,402,1
24448,401,2
24448,400,5
24448,392,6
24448,402,7
24448,400,8
24448,392,10
24448,404,11
24447,324,1
24447,315,2
24447,311,5
24447,305,6
24447,302,7
24447,307,8
24447,303,10
24447,316,11
24447,315,12
24446,356,1
24446,353,2
24446,338,5
24446,350,6
24446,334,7
24446,345,8
24446,340,10
24446,347,11
24446,352,12
24445,384,1
24445,381,2
24445,381,5
24445,372,6
24445,380,7
24445,382,8
24445,376,10
24445,379,11
24444,359,1
24444,373,2
24444,359,5
24444,350,6
24444,355,7
24444,362,8
24444,352,10
24444,358,11
24443,265,1
24443,265,2
24443,263,5
24443,258,6
24443,259,7
24443,265,8
24443,255,10
24443,263,11
24443,265,12
24442,230,1
24442,231,2
24442,229,5
24442,228,6
24442,220,7
24442,226,8
24442,219,10
24442,226,11
24441,241,1
24441,245,2
24441,244,5
24441,242,6
24441,240,7
24441,242,8
24441,240,10
24441,242,11
24441,242,12
24440,368,1
24440,365,2
24440,367,5
24440,356,6
24440,353,7
24440,365,8
24440,352,10
24440,372,11
24439,171,1
24439,167,2
24439,164,5
24439,167,6
24439,165,7
24439,171,8
24439,161,10
24439,167,11
24438,326,1
24438,312,2
24438,318,5
24438,305,6
24438,309,7
24438,318,8
24438,305,10
24438,311,11
24438,315,12
24437,227,1
24437,315,2
24437,323,5
24437,310,6
24437,305,7
24437,317,8
24437,302,10
24437,329,11
24436,314,1
24436,313,2
24436,313,5
24436,302,6
24436,295,7
24436,302,8
24436,289,10
24436,309,11
24435,290,1
24435,290,2
24435,292,5
24435,285,6
24435,276,7
24435,287,8
24435,276,10
24435,291,11
24435,292,12
18725,243,1
18725,245,2
18725,243,5
18725,247,6
18725,243,7
18725,243,8
18725,237,10
18725,242,11
18724,234,1
18724,324,2
18724,329,5
18724,315,6
18724,311,7
18724,322,8
18724,318,10
18724,335,11
18723,223,1
18723,260,2
18723,219,5
18723,215,6
18723,218,7
18723,216,8
18723,211,10
18723,221,11
18722,387,1
18722,407,2
18722,381,5
18722,380,6
18722,375,7
18722,380,8
18722,371,10
18722,387,11
18721,246,1
18721,243,2
18721,247,5
18721,237,6
18721,240,7
18721,245,8
18721,240,10
18721,244,11
18720,422,1
18720,443,2
18720,425,5
18720,412,6
18720,411,7
18720,415,8
18720,401,10
18720,428,11
18719,375,1
18719,362,2
18719,361,5
18719,355,6
18719,375,7
18719,363,8
18719,354,10
18719,363,11
18718,385,1
18718,393,2
18718,393,5
18718,373,6
18718,385,7
18718,394,8
18718,373,10
18718,395,11
18717,354,1
18717,342,2
18717,337,5
18717,335,6
18717,335,7
18717,345,8
18717,305,10
18717,360,11
18717,356,12
18716,311,1
18716,312,2
18716,303,5
18716,305,6
18716,308,7
18716,318,8
18716,295,10
18716,314,11
18716,313,12
18715,216,1
18715,214,2
18715,212,5
18715,211,6
18715,208,7
18715,210,8
18715,209,10
18715,216,11
18715,212,12
18714,331,1
18714,340,2
18714,322,5
18714,315,6
18714,315,7
18714,318,8
18714,312,10
18714,328,11
18713,285,1
18713,294,2
18713,288,5
18713,273,6
18713,279,7
18713,285,8
18713,265,10
18713,286,11
18713,285,12
18712,319,1
18712,302,2
18712,295,5
18712,296,6
18712,290,7
18712,292,8
18712,288,10
18712,304,11
18712,295,12
18711,175,1
18711,173,2
18711,174,5
18711,176,6
18711,175,7
18711,176,8
18711,171,10
18711,177,11
20800,213,1
20800,215,2
20800,206,5
20800,204,6
20800,202,7
20800,207,8
20800,203,10
20800,210,11
20800,212,12
20799,211,1
20799,212,2
20799,209,5
20799,210,6
20799,205,7
20799,206,8
20799,203,10
20799,215,11
20799,210,12
20798,176,1
20798,176,2
20798,175,5
20798,172,6
20798,172,7
20798,175,8
20798,167,10
20798,178,11
20798,175,12
20796,244,1
20796,241,2
20796,245,5
20796,241,6
20796,230,7
20796,246,8
20796,239,10
20796,244,11
20796,244,12
20795,292,1
20795,292,2
20795,286,5
20795,285,6
20795,275,7
20795,291,8
20795,261,10
20795,287,11
20794,385,1
20794,377,2
20794,371,5
20794,370,6
20794,380,7
20794,373,8
20794,363,10
20794,375,11
20793,388,1
20793,384,2
20793,380,5
20793,382,6
20793,378,7
20793,381,8
20793,375,10
20793,381,11
20793,388,12
20792,357,1
20792,357,2
20792,346,5
20792,336,6
20792,344,7
20792,349,8
20792,305,10
20792,338,11
20792,355,12
24475,238,1
24475,240,2
24475,237,5
24475,231,6
24475,226,7
24475,235,8
24475,205,10
24475,233,11
24475,233,12