Date,Vessel,TagID,ImageID,AnglerID,Species,Algorithm_Estimate_mm,Adjusted_Estimate_mm,Scientist_Hand_Measured_TL_mm,Algorithm_Total_Error_mm,Adjusted_Total_Error_mm,Algorithm_Percent_Error,Adjusted_Percent_Error,Include
3/2/20,Outer Limits,18711,375,10,Halfbanded Rockfish,191.30,204.70,167.00,24.30,37.70,14.55,22.57,yes
3/2/20,Outer Limits,18711,63,2,Halfbanded Rockfish,393.40,184.30,167.00,226.40,17.30,135.57,10.36,no
3/2/20,Outer Limits,18711,374,5,Halfbanded Rockfish,157.30,187.90,167.00,-9.70,20.90,-5.81,12.51,no
3/2/20,Outer Limits,18711,479,8,Halfbanded Rockfish,2126.50,192.60,167.00,1959.50,25.60,1173.35,15.33,no
3/2/20,Outer Limits,18711,435,2,Halfbanded Rockfish,192.20,193.90,167.00,25.20,26.90,15.09,16.11,yes
3/2/20,Outer Limits,18711,468,7,Halfbanded Rockfish,539.00,200.80,167.00,372.00,33.80,222.75,20.24,no
3/2/20,Outer Limits,18711,398,11,Halfbanded Rockfish,193.30,188.50,167.00,26.30,21.50,15.75,12.87,yes
3/2/20,Outer Limits,18711,416,6,Halfbanded Rockfish,242.40,202.60,167.00,75.40,35.60,45.15,21.32,yes
3/2/20,Outer Limits,18711,337,2,Halfbanded Rockfish,185.40,186.80,167.00,18.40,19.80,11.02,11.86,yes
3/2/20,Outer Limits,18711,171,1,Halfbanded Rockfish,175.60,179.70,167.00,8.60,12.70,5.15,7.60,yes
3/2/20,Outer Limits,18711,283,8,Halfbanded Rockfish,617.10,197.20,167.00,450.10,30.20,269.52,18.08,no
3/2/20,Outer Limits,18712,186,8,Bocaccio,7027.20,351.20,292.00,6735.20,59.20,2306.58,20.27,no
3/2/20,Outer Limits,18712,394,8,Bocaccio,3232.80,366.80,292.00,2940.80,74.80,1007.12,25.62,no
3/2/20,Outer Limits,18712,255,6,Bocaccio,348.30,348.40,292.00,56.30,56.40,19.28,19.32,yes
3/2/20,Outer Limits,18712,452,11,Bocaccio,345.70,343.50,292.00,53.70,51.50,18.39,17.64,yes
3/2/20,Outer Limits,18712,292,12,Bocaccio,314.10,341.90,292.00,22.10,49.90,7.57,17.09,yes
3/2/20,Outer Limits,18712,280,5,Bocaccio,338.70,349.80,292.00,46.70,57.80,15.99,19.79,yes
3/2/20,Outer Limits,18712,290,2,Bocaccio,342.80,367.50,292.00,50.80,75.50,17.40,25.86,yes
3/2/20,Outer Limits,18712,281,1,Bocaccio,332.20,332.20,292.00,40.20,40.20,13.77,13.77,yes
3/2/20,Outer Limits,18712,12,10,Bocaccio,2140.30,347.70,292.00,1848.30,55.70,632.98,19.08,no
3/2/20,Outer Limits,18712,198,2,Bocaccio,351.40,370.10,292.00,59.40,78.10,20.34,26.75,yes
3/2/20,Outer Limits,18713,193,7,Vermillion Rockfish,286.70,286.70,275.00,11.70,11.70,4.25,4.25,yes
3/2/20,Outer Limits,18713,3,1,Vermillion Rockfish,317.10,316.80,275.00,42.10,41.80,15.31,15.20,yes
3/2/20,Outer Limits,18713,291,11,Vermillion Rockfish,265.70,294.10,275.00,-9.30,19.10,-3.38,6.95,yes
3/2/20,Outer Limits,18713,457,2,Vermillion Rockfish,335.10,323.30,275.00,60.10,48.30,21.85,17.56,yes
3/2/20,Outer Limits,18713,282,10,Vermillion Rockfish,339.80,344.10,275.00,64.80,69.10,23.56,25.13,yes
3/2/20,Outer Limits,18713,274,8,Vermillion Rockfish,261.00,333.70,275.00,-14.00,58.70,-5.09,21.35,yes
3/2/20,Outer Limits,18713,263,2,Vermillion Rockfish,342.90,322.90,275.00,67.90,47.90,24.69,17.42,yes
3/2/20,Outer Limits,18713,404,8,Vermillion Rockfish,337.70,358.90,275.00,62.70,83.90,22.80,30.51,no
3/2/20,Outer Limits,18713,64,7,Vermillion Rockfish,146.70,279.90,275.00,-128.30,4.90,-46.65,1.78,yes
3/2/20,Outer Limits,18713,453,12,Vermillion Rockfish,331.70,320.80,275.00,56.70,45.80,20.62,16.65,yes
3/2/20,Outer Limits,18714,61,10,Bocaccio,2898.90,357.20,315.00,2583.90,42.20,820.29,13.40,no
3/2/20,Outer Limits,18714,477,2,Bocaccio,363.80,372.60,315.00,48.80,57.60,15.49,18.29,yes
3/2/20,Outer Limits,18714,430,5,Bocaccio,349.90,368.30,315.00,34.90,53.30,11.08,16.92,yes
3/2/20,Outer Limits,18714,273,2,Bocaccio,354.90,335.10,315.00,39.90,20.10,12.67,6.38,yes
3/2/20,Outer Limits,18714,480,10,Bocaccio,356.90,359.90,315.00,41.90,44.90,13.30,14.25,yes
3/2/20,Outer Limits,18714,34,8,Bocaccio,380.80,380.20,315.00,65.80,65.20,20.89,20.70,yes
3/2/20,Outer Limits,18714,135,1,Bocaccio,362.00,362.80,315.00,47.00,47.80,14.92,15.17,yes
3/2/20,Outer Limits,18714,243,6,Bocaccio,394.90,352.60,315.00,79.90,37.60,25.37,11.94,yes
3/2/20,Outer Limits,18714,351,11,Bocaccio,372.10,362.70,315.00,57.10,47.70,18.13,15.14,yes
3/2/20,Outer Limits,18714,185,8,Bocaccio,377.50,359.80,315.00,62.50,44.80,19.84,14.22,yes
3/2/20,Outer Limits,18714,313,7,Bocaccio,400.40,357.30,315.00,85.40,42.30,27.11,13.43,yes
3/2/20,Outer Limits,18715,399,7,Starry Rockfish,146.10,224.60,211.00,-64.90,13.60,-30.76,6.45,yes
3/2/20,Outer Limits,18715,310,12,Starry Rockfish,236.00,239.20,211.00,25.00,28.20,11.85,13.36,yes
3/2/20,Outer Limits,18715,446,5,Starry Rockfish,229.50,241.50,211.00,18.50,30.50,8.77,14.45,yes
3/2/20,Outer Limits,18715,388,8,Starry Rockfish,1884.80,235.70,211.00,1673.80,24.70,793.27,11.71,no
3/2/20,Outer Limits,18715,77,1,Starry Rockfish,225.40,232.40,211.00,14.40,21.40,6.82,10.14,yes
3/2/20,Outer Limits,18715,466,11,Starry Rockfish,220.20,219.80,211.00,9.20,8.80,4.36,4.17,yes
3/2/20,Outer Limits,18715,386,6,Starry Rockfish,287.90,238.00,211.00,76.90,27.00,36.45,12.80,yes
3/2/20,Outer Limits,18715,311,2,Starry Rockfish,277.50,251.40,211.00,66.50,40.40,31.52,19.15,no
3/2/20,Outer Limits,18715,226,8,Starry Rockfish,240.80,242.10,211.00,29.80,31.10,14.12,14.74,yes
3/2/20,Outer Limits,18715,172,10,Starry Rockfish,244.50,249.70,211.00,33.50,38.70,15.88,18.34,yes
3/2/20,Outer Limits,18716,37,2,Ocean Whitefish,346.30,348.40,305.00,41.30,43.40,13.54,14.23,yes
3/2/20,Outer Limits,18716,100,12,Ocean Whitefish,339.40,339.40,305.00,34.40,34.40,11.28,11.28,yes
3/2/20,Outer Limits,18716,447,8,Ocean Whitefish,373.00,375.90,305.00,68.00,70.90,22.30,23.25,yes
3/2/20,Outer Limits,18716,174,1,Ocean Whitefish,337.70,341.10,305.00,32.70,36.10,10.72,11.84,yes
3/2/20,Outer Limits,18716,60,6,Ocean Whitefish,353.80,358.20,305.00,48.80,53.20,16.00,17.44,yes
3/2/20,Outer Limits,18716,258,5,Ocean Whitefish,357.50,341.70,305.00,52.50,36.70,17.21,12.03,yes
3/2/20,Outer Limits,18716,323,10,Ocean Whitefish,328.20,337.80,305.00,23.20,32.80,7.61,10.75,yes
3/2/20,Outer Limits,18716,382,11,Ocean Whitefish,404.20,343.70,305.00,99.20,38.70,32.52,12.69,no
3/2/20,Outer Limits,18717,109,2,Bocaccio,390.30,394.70,340.00,50.30,54.70,14.79,16.09,yes
3/2/20,Outer Limits,18717,182,7,Bocaccio,365.10,365.10,340.00,25.10,25.10,7.38,7.38,yes
3/2/20,Outer Limits,18717,253,1,Bocaccio,487.70,426.10,340.00,147.70,86.10,43.44,25.32,no
3/2/20,Outer Limits,18717,344,11,Bocaccio,415.10,443.20,340.00,75.10,103.20,22.09,30.35,no
3/2/20,Outer Limits,18717,307,12,Bocaccio,461.20,422.10,340.00,121.20,82.10,35.65,24.15,yes
3/2/20,Outer Limits,18717,181,6,Bocaccio,404.10,375.60,340.00,64.10,35.60,18.85,10.47,yes
3/2/20,Outer Limits,18717,410,2,Bocaccio,375.00,379.10,340.00,35.00,39.10,10.29,11.50,yes
3/2/20,Outer Limits,18717,330,8,Bocaccio,1456.80,514.50,340.00,1116.80,174.50,328.47,51.32,no
3/2/20,Outer Limits,18717,142,5,Bocaccio,394.10,391.40,340.00,54.10,51.40,15.91,15.12,yes
3/2/20,Outer Limits,18717,355,1,Bocaccio,390.00,411.60,340.00,50.00,71.60,14.71,21.06,yes
3/2/20,Outer Limits,18717,16,10,Bocaccio,383.10,396.60,340.00,43.10,56.60,12.68,16.65,yes
3/2/20,Outer Limits,18718,385,1,Bocaccio,426.50,423.00,373.00,53.50,50.00,14.34,13.40,yes
3/2/20,Outer Limits,18718,372,8,Bocaccio,3504.10,514.80,373.00,3131.10,141.80,839.44,38.02,no
3/2/20,Outer Limits,18718,216,11,Bocaccio,427.20,402.40,373.00,54.20,29.40,14.53,7.88,yes
3/2/20,Outer Limits,18718,71,8,Bocaccio,601.30,475.20,373.00,228.30,102.20,61.21,27.40,no
3/2/20,Outer Limits,18718,411,2,Bocaccio,720.80,436.50,373.00,347.80,63.50,93.24,17.02,no
3/2/20,Outer Limits,18718,11,6,Bocaccio,445.60,446.10,373.00,72.60,73.10,19.46,19.60,yes
3/2/20,Outer Limits,18718,191,10,Bocaccio,450.00,444.10,373.00,77.00,71.10,20.64,19.06,yes
3/2/20,Outer Limits,18718,451,2,Bocaccio,413.40,421.90,373.00,40.40,48.90,10.83,13.11,yes
3/2/20,Outer Limits,18718,417,5,Bocaccio,419.40,419.40,373.00,46.40,46.40,12.44,12.44,yes
3/2/20,Outer Limits,18719,450,10,Bocaccio,457.20,455.00,358.00,99.20,97.00,27.71,27.09,yes
3/2/20,Outer Limits,18719,262,2,Bocaccio,429.00,429.00,358.00,71.00,71.00,19.83,19.83,yes
3/2/20,Outer Limits,18719,88,1,Bocaccio,388.10,388.10,358.00,30.10,30.10,8.41,8.41,yes
3/2/20,Outer Limits,18719,125,2,Bocaccio,434.50,434.50,358.00,76.50,76.50,21.37,21.37,yes
3/2/20,Outer Limits,18719,289,7,Bocaccio,186.50,421.70,358.00,-171.50,63.70,-47.91,17.79,yes
3/2/20,Outer Limits,18719,260,5,Bocaccio,422.20,395.70,358.00,64.20,37.70,17.93,10.53,yes
3/2/20,Outer Limits,18719,107,11,Bocaccio,489.00,430.70,358.00,131.00,72.70,36.59,20.31,no
3/2/20,Outer Limits,18719,46,7,Bocaccio,448.40,405.50,358.00,90.40,47.50,25.25,13.27,yes
3/2/20,Outer Limits,18720,154,1,Bocaccio,403.60,493.50,410.00,-6.40,83.50,-1.56,20.37,yes
3/2/20,Outer Limits,18720,230,8,Bocaccio,2056.30,504.90,410.00,1646.30,94.90,401.54,23.15,no
3/2/20,Outer Limits,18720,401,2,Bocaccio,549.70,479.60,410.00,139.70,69.60,34.07,16.98,no
3/2/20,Outer Limits,18720,328,2,Bocaccio,302.80,452.30,410.00,-107.20,42.30,-26.15,10.32,yes
3/2/20,Outer Limits,18720,474,12,Bocaccio,457.90,464.70,410.00,47.90,54.70,11.68,13.34,yes
3/2/20,Outer Limits,18720,221,6,Bocaccio,456.60,456.60,410.00,46.60,46.60,11.37,11.37,yes
3/2/20,Outer Limits,18720,405,10,Bocaccio,496.40,476.70,410.00,86.40,66.70,21.07,16.27,yes
3/2/20,Outer Limits,18721,220,2,Squarespot Rockfish,265.40,263.80,238.00,27.40,25.80,11.51,10.84,yes
3/2/20,Outer Limits,18721,6,10,Squarespot Rockfish,322.20,299.00,238.00,84.20,61.00,35.38,25.63,yes
3/2/20,Outer Limits,18721,322,1,Squarespot Rockfish,246.70,256.70,238.00,8.70,18.70,3.66,7.86,yes
3/2/20,Outer Limits,18721,276,2,Squarespot Rockfish,288.20,275.20,238.00,50.20,37.20,21.09,15.63,yes
3/2/20,Outer Limits,18721,373,5,Squarespot Rockfish,283.60,285.60,238.00,45.60,47.60,19.16,20.00,yes
3/2/20,Outer Limits,18721,144,11,Squarespot Rockfish,345.30,252.50,238.00,107.30,14.50,45.08,6.09,yes
3/2/20,Outer Limits,18722,232,1,Bocaccio,403.30,420.80,375.00,28.30,45.80,7.55,12.21,yes
3/2/20,Outer Limits,18722,400,10,Bocaccio,450.40,450.40,375.00,75.40,75.40,20.11,20.11,yes
3/2/20,Outer Limits,18722,231,11,Bocaccio,457.20,387.50,375.00,82.20,12.50,21.92,3.33,no
3/2/20,Outer Limits,18722,248,2,Bocaccio,430.70,430.70,375.00,55.70,55.70,14.85,14.85,yes
3/2/20,Outer Limits,18722,169,2,Bocaccio,447.30,447.30,375.00,72.30,72.30,19.28,19.28,yes
3/2/20,Outer Limits,18722,315,7,Bocaccio,416.30,416.30,375.00,41.30,41.30,11.01,11.01,yes
3/2/20,Outer Limits,18722,356,8,Bocaccio,382.60,481.70,375.00,7.60,106.70,2.03,28.45,no
3/2/20,Outer Limits,18722,233,2,Bocaccio,433.50,440.90,375.00,58.50,65.90,15.60,17.57,yes
3/2/20,Outer Limits,18722,137,6,Bocaccio,2911.00,558.20,375.00,2536.00,183.20,676.27,48.85,no
3/2/20,Outer Limits,18722,28,5,Bocaccio,444.90,414.40,375.00,69.90,39.40,18.64,10.51,yes
3/2/20,Outer Limits,18723,433,6,Squarespot Rockfish,259.50,230.60,210.00,49.50,20.60,23.57,9.81,yes
3/2/20,Outer Limits,18723,223,2,Squarespot Rockfish,295.00,255.70,210.00,85.00,45.70,40.48,21.76,no
3/2/20,Outer Limits,18723,25,1,Squarespot Rockfish,226.70,226.70,210.00,16.70,16.70,7.95,7.95,yes
3/2/20,Outer Limits,18723,104,2,Squarespot Rockfish,239.80,245.50,210.00,29.80,35.50,14.19,16.90,yes
3/2/20,Outer Limits,18723,166,11,Squarespot Rockfish,231.80,231.80,210.00,21.80,21.80,10.38,10.38,yes
3/2/20,Outer Limits,18723,419,5,Squarespot Rockfish,232.80,238.40,210.00,22.80,28.40,10.86,13.52,yes
3/2/20,Outer Limits,18723,108,10,Squarespot Rockfish,2468.70,265.40,210.00,2258.70,55.40,1075.57,26.38,no
3/2/20,Outer Limits,18723,245,8,Squarespot Rockfish,251.60,257.30,210.00,41.60,47.30,19.81,22.52,yes
3/2/20,Outer Limits,18723,241,7,Squarespot Rockfish,273.20,250.10,210.00,63.20,40.10,30.10,19.10,yes
3/2/20,Outer Limits,18724,286,8,Bocaccio,279.60,375.70,318.00,-38.40,57.70,-12.08,18.14,no
3/2/20,Outer Limits,18724,418,5,Bocaccio,354.80,373.00,318.00,36.80,55.00,11.57,17.30,yes
3/2/20,Outer Limits,18724,312,11,Bocaccio,359.70,350.10,318.00,41.70,32.10,13.11,10.09,yes
3/2/20,Outer Limits,18724,31,6,Bocaccio,392.20,412.70,318.00,74.20,94.70,23.33,29.78,yes
3/2/20,Outer Limits,18724,139,2,Bocaccio,364.80,369.90,318.00,46.80,51.90,14.72,16.32,yes
3/2/20,Outer Limits,18724,228,10,Bocaccio,388.10,388.10,318.00,70.10,70.10,22.04,22.04,yes
3/2/20,Outer Limits,18724,51,10,Bocaccio,381.40,378.50,318.00,63.40,60.50,19.94,19.03,yes
3/2/20,Outer Limits,18724,347,2,Bocaccio,361.00,375.40,318.00,43.00,57.40,13.52,18.05,yes
3/2/20,Outer Limits,18724,287,10,Bocaccio,379.60,382.40,318.00,61.60,64.40,19.37,20.25,yes
3/2/20,Outer Limits,18724,131,10,Bocaccio,380.60,382.10,318.00,62.60,64.10,19.69,20.16,yes
3/2/20,Outer Limits,18724,381,1,Bocaccio,372.40,377.80,318.00,54.40,59.80,17.11,18.81,yes
3/2/20,Outer Limits,18725,128,10,Starry Rockfish,1953.60,282.40,238.00,1715.60,44.40,720.84,18.66,no
3/2/20,Outer Limits,18725,180,1,Starry Rockfish,255.10,257.00,238.00,17.10,19.00,7.18,7.98,yes
3/2/20,Outer Limits,18725,242,11,Starry Rockfish,309.90,262.20,238.00,71.90,24.20,30.21,10.17,no
3/2/20,Outer Limits,18725,429,7,Starry Rockfish,278.30,279.10,238.00,40.30,41.10,16.93,17.27,yes
3/2/20,Outer Limits,18725,132,2,Starry Rockfish,263.80,274.50,238.00,25.80,36.50,10.84,15.34,yes
3/2/20,Outer Limits,18725,116,2,Starry Rockfish,263.90,267.40,238.00,25.90,29.40,10.88,12.35,yes
3/2/20,Outer Limits,18725,96,8,Starry Rockfish,268.20,270.50,238.00,30.20,32.50,12.69,13.66,yes
3/2/20,Outer Limits,18725,333,2,Starry Rockfish,267.00,271.00,238.00,29.00,33.00,12.18,13.87,yes
3/2/20,Outer Limits,18725,47,6,Starry Rockfish,260.70,277.80,238.00,22.70,39.80,9.54,16.72,yes
3/2/20,Outer Limits,18725,266,5,Starry Rockfish,264.40,265.30,238.00,26.40,27.30,11.09,11.47,yes
3/2/20,Outer Limits,20792,366,11,Greenblotched Rockfish,391.90,387.50,338.00,53.90,49.50,15.95,14.64,yes
3/2/20,Outer Limits,20792,301,5,Greenblotched Rockfish,363.10,389.70,338.00,25.10,51.70,7.43,15.30,yes
3/2/20,Outer Limits,20792,111,7,Greenblotched Rockfish,352.90,362.00,338.00,14.90,24.00,4.41,7.10,yes
3/2/20,Outer Limits,20792,362,12,Greenblotched Rockfish,464.30,407.30,338.00,126.30,69.30,37.37,20.50,yes
3/2/20,Outer Limits,20792,235,1,Greenblotched Rockfish,409.90,414.40,338.00,71.90,76.40,21.27,22.60,yes
3/2/20,Outer Limits,20792,456,2,Greenblotched Rockfish,329.60,424.60,338.00,-8.40,86.60,-2.49,25.62,yes
3/2/20,Outer Limits,20792,348,8,Greenblotched Rockfish,314.60,456.80,338.00,-23.40,118.80,-6.92,35.15,no
3/2/20,Outer Limits,20792,10,10,Greenblotched Rockfish,502.30,466.00,338.00,164.30,128.00,48.61,37.87,no
3/2/20,Outer Limits,20792,79,7,Greenblotched Rockfish,354.10,398.20,338.00,16.10,60.20,4.76,17.81,yes
3/2/20,Outer Limits,20792,5,2,Greenblotched Rockfish,388.70,404.20,338.00,50.70,66.20,15.00,19.59,yes
3/2/20,Outer Limits,20792,113,2,Greenblotched Rockfish,442.60,442.60,338.00,104.60,104.60,30.95,30.95,yes
3/2/20,Outer Limits,20792,285,6,Greenblotched Rockfish,446.80,440.80,338.00,108.80,102.80,32.19,30.41,yes
3/2/20,Outer Limits,20792,309,7,Greenblotched Rockfish,359.00,361.50,338.00,21.00,23.50,6.21,6.95,yes
3/2/20,Outer Limits,20793,275,11,Greenblotched Rockfish,3964.30,435.30,380.00,3584.30,55.30,943.24,14.55,no
3/2/20,Outer Limits,20793,176,1,Greenblotched Rockfish,379.30,391.40,380.00,-0.70,11.40,-0.18,3.00,yes
3/2/20,Outer Limits,20793,423,12,Greenblotched Rockfish,291.20,430.20,380.00,-88.80,50.20,-23.37,13.21,yes
3/2/20,Outer Limits,20793,4,5,Greenblotched Rockfish,428.20,439.70,380.00,48.20,59.70,12.68,15.71,no
3/2/20,Outer Limits,20793,345,6,Greenblotched Rockfish,332.70,415.70,380.00,-47.30,35.70,-12.45,9.39,yes
3/2/20,Outer Limits,20793,331,2,Greenblotched Rockfish,413.90,420.00,380.00,33.90,40.00,8.92,10.53,yes
3/2/20,Outer Limits,20793,87,7,Greenblotched Rockfish,222.60,425.80,380.00,-157.40,45.80,-41.42,12.05,yes
3/2/20,Outer Limits,20793,44,2,Greenblotched Rockfish,412.00,420.20,380.00,32.00,40.20,8.42,10.58,yes
3/2/20,Outer Limits,20793,246,6,Greenblotched Rockfish,320.10,414.20,380.00,-59.90,34.20,-15.76,9.00,yes
3/2/20,Outer Limits,20793,359,2,Greenblotched Rockfish,1230.10,425.60,380.00,850.10,45.60,223.71,12.00,no
3/2/20,Outer Limits,20793,99,8,Greenblotched Rockfish,289.10,439.80,380.00,-90.90,59.80,-23.92,15.74,yes
3/2/20,Outer Limits,20794,74,6,Bocaccio,464.60,456.90,365.00,99.60,91.90,27.29,25.18,yes
3/2/20,Outer Limits,20794,304,8,Bocaccio,1407.30,453.80,365.00,1042.30,88.80,285.56,24.33,no
3/2/20,Outer Limits,20794,300,11,Bocaccio,403.80,387.60,365.00,38.80,22.60,10.63,6.19,yes
3/2/20,Outer Limits,20794,299,1,Bocaccio,407.50,420.00,365.00,42.50,55.00,11.64,15.07,yes
3/2/20,Outer Limits,20794,389,2,Bocaccio,423.50,431.00,365.00,58.50,66.00,16.03,18.08,yes
3/2/20,Outer Limits,20794,20,5,Bocaccio,427.20,398.00,365.00,62.20,33.00,17.04,9.04,yes
3/2/20,Outer Limits,20794,105,7,Bocaccio,395.50,406.70,365.00,30.50,41.70,8.36,11.42,yes
3/2/20,Outer Limits,20794,146,5,Bocaccio,360.70,396.30,365.00,-4.30,31.30,-1.18,8.58,yes
3/2/20,Outer Limits,20794,376,10,Bocaccio,446.70,427.80,365.00,81.70,62.80,22.38,17.21,yes
3/2/20,Outer Limits,20794,448,2,Bocaccio,422.70,429.30,365.00,57.70,64.30,15.81,17.62,yes
3/2/20,Outer Limits,20795,8,5,Vermillion Rockfish,239.80,321.00,265.00,-25.20,56.00,-9.51,21.13,yes
3/2/20,Outer Limits,20795,114,6,Vermillion Rockfish,144.60,307.90,265.00,-120.40,42.90,-45.43,16.19,yes
3/2/20,Outer Limits,20795,65,10,Vermillion Rockfish,324.90,324.90,265.00,59.90,59.90,22.60,22.60,yes
3/2/20,Outer Limits,20795,425,5,Vermillion Rockfish,183.10,326.30,265.00,-81.90,61.30,-30.91,23.13,yes
3/2/20,Outer Limits,20795,442,11,Vermillion Rockfish,331.50,328.80,265.00,66.50,63.80,25.09,24.08,yes
3/2/20,Outer Limits,20795,321,2,Vermillion Rockfish,320.70,317.80,265.00,55.70,52.80,21.02,19.92,yes
3/2/20,Outer Limits,20795,332,4,Vermillion Rockfish,308.80,290.00,265.00,43.80,25.00,16.53,9.43,yes
3/2/20,Outer Limits,20795,444,7,Vermillion Rockfish,293.30,292.40,265.00,28.30,27.40,10.68,10.34,yes
3/2/20,Outer Limits,20795,392,8,Vermillion Rockfish,1097.20,360.70,265.00,832.20,95.70,314.04,36.11,no
3/2/20,Outer Limits,20795,294,4,Vermillion Rockfish,306.70,303.90,265.00,41.70,38.90,15.74,14.68,yes
3/2/20,Outer Limits,20795,151,8,Vermillion Rockfish,3259.30,352.60,265.00,2994.30,87.60,1129.92,33.06,no
3/2/20,Outer Limits,20795,81,4,Vermillion Rockfish,304.60,297.70,265.00,39.60,32.70,14.94,12.34,yes
3/2/20,Outer Limits,20795,160,2,Vermillion Rockfish,295.60,316.00,265.00,30.60,51.00,11.55,19.25,yes
3/2/20,Outer Limits,20796,145,10,Speckled Rockfish,295.10,291.90,229.00,66.10,62.90,28.86,27.47,yes
3/2/20,Outer Limits,20796,39,3,Speckled Rockfish,243.40,245.10,229.00,14.40,16.10,6.29,7.03,yes
3/2/20,Outer Limits,20796,209,11,Speckled Rockfish,334.90,277.30,229.00,105.90,48.30,46.24,21.09,no
3/2/20,Outer Limits,20796,197,1,Speckled Rockfish,252.60,252.60,229.00,23.60,23.60,10.31,10.31,yes
3/2/20,Outer Limits,20796,306,2,Speckled Rockfish,273.60,268.50,229.00,44.60,39.50,19.48,17.25,yes
3/2/20,Outer Limits,20796,472,3,Speckled Rockfish,253.40,252.00,229.00,24.40,23.00,10.66,10.04,yes
